State/ UT,District/ Area,Total Crimes against Women,Crime_Probability,District_Score,Normalized_Score
Andhra Pradesh,Anantapur,952.0,0.0298788525516289,10273.0,0.027045598146588037
Andhra Pradesh,Chittoor,366.0,0.011487037850731279,4326.0,0.011389005897219882
Andhra Pradesh,Cuddapah,690.0,0.021655891030067164,8083.0,0.021280012636899746
Andhra Pradesh,East Godavari,1438.0,0.04513213232063273,17571.0,0.04625895113732098
Andhra Pradesh,Guntakal Railway,1.0,3.1385349318937917e-05,20.0,5.265374894692502e-05
Andhra Pradesh,Guntur,1325.0,0.041585587847592746,15667.0,0.04124631423757372
Andhra Pradesh,Guntur Urban,874.0,0.027430795304751742,10057.0,0.026476937657961247
Andhra Pradesh,Krishna,1387.0,0.04353147950536689,16648.0,0.04382898062342039
Andhra Pradesh,Kurnool,1719.0,0.053951415479254285,18641.0,0.04907592670598147
Andhra Pradesh,Nellore,1063.0,0.03336262632603101,13282.0,0.03496735467565291
Andhra Pradesh,Prakasham,906.0,0.028435126482957755,11159.0,0.029378159224936817
Andhra Pradesh,Rajahmundry,435.0,0.013652626953737996,5272.0,0.013879528222409435
Andhra Pradesh,Srikakulam,460.0,0.014437260686711443,5791.0,0.01524589300758214
Andhra Pradesh,Tirupathi Urban,228.0,0.007155859644717846,2669.0,0.007026642796967144
Andhra Pradesh,Vijayawada City,641.0,0.020118008913439206,7726.0,0.020340143218197135
Andhra Pradesh,Vijayawada Railway,22.0,0.0006904776850166342,282.0,0.0007424178601516428
Andhra Pradesh,Visakha Rural,343.0,0.010765174816395707,4402.0,0.011589090143218198
Andhra Pradesh,Visakhapatnam,902.0,0.028309585085682005,11556.0,0.030423336141533277
Andhra Pradesh,Vizianagaram,625.0,0.0196158433243362,7330.0,0.01929759898904802
Andhra Pradesh,West Godavari,1554.0,0.048772832841629525,19165.0,0.0504554549283909
Andhra Pradesh,Total District(s),15931.0,0.5,189920.0,0.5
Arunachal Pradesh,Anjaw,0.0,0.0,0.0,0.0
Arunachal Pradesh,Changlang,21.0,0.02734375,336.0,0.027860696517412936
Arunachal Pradesh,Crime Branch,1.0,0.0013020833333333333,20.0,0.001658374792703151
Arunachal Pradesh,Dibang Valley,1.0,0.0013020833333333333,14.0,0.0011608623548922056
Arunachal Pradesh,Kameng East,12.0,0.015625,196.0,0.01625207296849088
Arunachal Pradesh,Kameng West,10.0,0.013020833333333334,154.0,0.012769485903814262
Arunachal Pradesh,Kurung Kumey,5.0,0.006510416666666667,94.0,0.007794361525704809
Arunachal Pradesh,Lohit,43.0,0.055989583333333336,706.0,0.05854063018242123
Arunachal Pradesh,Longding,0.0,0.0,0.0,0.0
Arunachal Pradesh,Lower Dibang Valley,11.0,0.014322916666666666,185.0,0.015339966832504145
Arunachal Pradesh,Papum Pare City,137.0,0.17838541666666666,2126.0,0.17628524046434493
Arunachal Pradesh,Papum Pare Rural,6.0,0.0078125,94.0,0.007794361525704809
Arunachal Pradesh,Siang East,47.0,0.061197916666666664,727.0,0.06028192371475954
Arunachal Pradesh,Siang Upper,7.0,0.009114583333333334,100.0,0.008291873963515755
Arunachal Pradesh,Siang West,29.0,0.037760416666666664,472.0,0.03913764510779436
Arunachal Pradesh,Subansiri Lower,11.0,0.014322916666666666,178.0,0.014759535655058043
Arunachal Pradesh,Subansiri Upper,26.0,0.033854166666666664,349.0,0.028938640132669984
Arunachal Pradesh,Tawang,2.0,0.0026041666666666665,24.0,0.001990049751243781
Arunachal Pradesh,Tirap,10.0,0.013020833333333334,176.0,0.014593698175787729
Arunachal Pradesh,Siang,5.0,0.006510416666666667,79.0,0.0065505804311774465
Arunachal Pradesh,Total District(s),384.0,0.5,6030.0,0.5
Assam,B. I. E. O.,0.0,0.0,0.0,0.0
Assam,Barpeta,2682.0,0.05765758018746238,33518.0,0.054712724732214855
Assam,Baksa,374.0,0.008040244217043599,5568.0,0.009088861247955497
Assam,Bongaigaon,372.0,0.007997248258663686,5058.0,0.008256368568994055
Assam,C. I. D.,1.0,2.1497979189956143e-05,0.0,0.0
Assam,Cachar,986.0,0.02119700748129676,12477.0,0.020366688540003723
Assam,Chirang,202.0,0.004342591796371141,2630.0,0.004293050481703117
Assam,Darrang,1237.0,0.02659300025797575,16647.0,0.02717354044445315
Assam,Dhemaji,337.0,0.0072448189870152205,4403.0,0.007187186795033773
Assam,Dhubri,2021.0,0.043447415942901364,26543.0,0.0433271630934775
Assam,Dibrugarh,680.0,0.014618625849170178,8868.0,0.014475578582411879
Assam,G. R. P.,8.0,0.00017198383351964914,128.0,0.00020893933903345967
Assam,Goalpara,1096.0,0.023561785192191934,13308.0,0.02172316190513501
Assam,Golaghat,652.0,0.014016682431851406,8891.0,0.014513122369894453
Assam,Guwahati City,1739.0,0.03738498581133373,24159.0,0.039435667903979316
Assam,Hailakandi,668.0,0.014360650098890704,9064.0,0.014795516945306864
Assam,Hamren,59.0,0.0012683807722074125,818.0,0.0013352529635107032
Assam,Jorhat,711.0,0.015285063204058818,9682.0,0.015804302191577784
Assam,Kamrup,862.0,0.018531258061742197,11562.0,0.018873098733631726
Assam,Karbi Anglong,172.0,0.003697652420672457,2729.0,0.0044546520017368085
Assam,Karimganj,702.0,0.015091581391349213,9612.0,0.015690038490543862
Assam,Kokrajhar,477.0,0.01025453607360908,6342.0,0.010352291313673448
Assam,Lakhimpur,735.0,0.015801014704617766,9807.0,0.016008344514852647
Assam,Morigaon,837.0,0.017993808581993294,11285.0,0.01842094094525463
Assam,Dima Hasao,32.0,0.0006879353340785966,503.0,0.0008210663088580486
Assam,Nagaon,1486.0,0.03194599707627483,18849.0,0.030767950011263135
Assam,Nalbari,373.0,0.008018746237853642,5048.0,0.008240045183132066
Assam,R. P. O.,25.0,0.0005374494797489036,366.0,0.0005974359225487987
Assam,S. T. F.,0.0,0.0,0.0,0.0
Assam,Sibsagar,919.0,0.019756642875569698,12806.0,0.02090372793486316
Assam,Sonitpur,746.0,0.016037492475707283,9105.0,0.014862442827341019
Assam,Tinsukia,333.0,0.007158827070255396,3440.0,0.005615244736524229
Assam,Udalguri,195.0,0.004192105942041448,2754.0,0.004495460466391781
Assam,Sadia,34.0,0.0007309312924585089,504.0,0.0008226986474442475
Assam,Majuli,44.0,0.0009459110843580704,594.0,0.0009696091202021488
Assam,Biswanath,388.0,0.008341215925702984,5100.0,0.008324926789614408
Assam,Hojai,619.0,0.013307249118582854,8207.0,0.013396602776934403
Assam,South Salmara,454.0,0.00976008255224009,5934.0,0.009686297170504295
Assam,Total District(s),23258.0,0.5,306309.0,0.5
Bihar,Araria,230.0,0.008278741631272046,3118.0,0.009566119125488584
Bihar,Arwal,123.0,0.004427327046288964,1279.0,0.003924011020365587
Bihar,Aurangabad,271.0,0.009754517313368368,2302.0,0.007062606230556357
Bihar,Bagaha,165.0,0.005939097257216903,2009.0,0.006163673291567211
Bihar,Banka,234.0,0.008422719746598518,2563.0,0.00786336219327365
Bihar,Begusarai,337.0,0.01213015621625513,4112.0,0.012615741450932989
Bihar,Bettiah,421.0,0.015153696638111008,4710.0,0.014450423695013223
